,Date,1,2,3,4,5,6,7,8,9,10
52,2018-01-15,Apple’s stock just broke out from a 2-month hibernation,Nasdaq up 0.7% at 7;310.93,S&P 500 up 0.4% at 2;798.71,Dow trades above 26;000 for first time as stocks open higher,Eiger shares plummet 40% after phase 2 trial failure,GE stock's big selloff has little impact on Dow's price,GE's credit rating affirmed at Fitch; but risk of downgrade increased after insurance charge,UnitedHealth's stock surges after profit; revenue rise above expectations,GE's stock sinks after unveiling $6.2 billion charge in Q4,How Mark Mobius changed retirement investing for the better
53,2018-01-14,Which markets are closed on Martin Luther King Jr. Day?,Dow futures rise; setting up blue-chip stocks to blast out record after holiday,Wal-Mart to offer one-time bonus of up to $1;000—but only for 20-year veterans,Kodak stock pulls back; directors disclose acquisitions prior to ‘blockchain’ rally,Retailers including Sears are facing a brighter new year — but there will be casualties,Sarepta is making a bold bet on genetic medicine,Here’s what all 30 companies that make up the Dow industrials think about the tax cuts,Sam’s closures quashed PR bonanza of Wal-Mart pay hikes and bonuses; but analysts have eye on longer term,HP reclaims top spot in PCs; but staying there isn’t the top priority,Here are the 3 things that could stop the stock market in 2018
54,2018-01-13,Coca-Cola rebrands Diet Coke for millennials; but what’s in the can may be the problem,Here’s what could trigger a 30% stock-market melt-up; says investor Bill Miller,Dimon thinks even his own economist at J.P. Morgan is dead wrong about GDP; predicts 4% U.S. growth,Weekend roundup: Netflix and FAANG stocks | A market melt-up | Dividend stocks,Investors pile into stock market as ‘bull capitulation begins’: BAML,The Dow and S&P 500 just had the best start to a calendar year since 2003,Stocks end at records; book weekly gains as earnings season kicks off,Main stock indexes close at records as earnings get underway,Russell 2000 up shy of 0.3%,Nasdaq Composite Index posts 0.7% gain
55,2018-01-12,Dow Jones Industrial Average advances 229 points,S&P 500 up 0.7%,Russell posts largest weekly gain since September,The Dow and S&P clinch second straight week of gains,Stock indexes all end at records; Dow jumps more than 200 points,Bon Ton Store bonds tumble as deadline for $14 million interest payment looms,As promised; big bank earnings were messy; but CEOs keep faith in tax cuts,U.S. benchmarks take flight; extend statistically unusual 2018 breakout,Holiday retail sales a case of haves; have-nots: Internet sellers soar; dept. stores fade,Holiday retail sales increased 5.5% in 2017; exceeding the National Retail Federation forecast
56,2018-01-11,The Dow’s blistering climb helps it log the fastest run-up to a midpoint milestone in history,Trump Today: President reverses his own criticism of FISA,IBM installs new CFO,Major stock indexes close at records ahead of earnings,Stocks end at records; driven by rally in energy shares,Dow finishes up 0.8%,S&P 500 ends 0.7% higher,Nasdaq Composite finished 0.8% higher,Dow finishes up 0.8%,S&P 500 ends 0.7% higher
57,2018-01-10,S&P 500; Nasdaq log first down day of 2018 as all major stock indexes drop,Dimon’s many bitcoin moments of regret; in one chart,S&P 500; Nasdaq break six-day win streak,S&P 500; Nasdaq halt 6-session win streak as bond-yield uptrend gains steam,Dow finishes little changed; ends off session lows,S&P 500; Nasdaq shed 0.1%,Report that Trump will announce end of Nafta pact adds to stock-market jitters,‘Black Panther’ outsells all Marvel films in first 24 hours of ticket presales,S&P 500 slips a point to 2;749; Nasdaq off 14 points; or 0.2%; to 7;149,Dow industrials edge into positive territory; up 12 points to 25;398
58,2018-01-09,Cardinal Health fires back at Amazon health-care threat: You can’t beat our prices,Dow industrials log a record; set sights on 26;000 as banks; health-care rally,All main indexes close at records as S&P 500 has best start to year since 1964,Dow closes up more than 100 points; S&P 500 rises 0.1%,Nasdaq Composite ends less than 0.1% higher,All three stock benchmarks finish at records,S&P 500 marks best start to a year since 1987,S&P 500; Nasdaq notch six gains in a row to start 2018,All three stock benchmarks finish at records,S&P 500 marks best start to a year since 1987
59,2018-01-08,S&P 500; Nasdaq close at records; Dow snaps multiday streak,CryptoWatch: Cryptocurrencies see $100 billion hit amid South Korean clampdown,Artificial intelligence made new ‘Star Wars’ music; and this is what it sounds like,Why the gain on Monday; a ‘big day for bulls;’ could suggest stock gains of nearly 20% in 2018,Consumer borrowing grows at its fastest rate in 16 years,S&P 500; Nasdaq end at records; Dow breaks 4-day win streak,Nasdaq finishes up 0.3% to mark fresh record,Dow slips by 15 point; multiday streak ends at four,S&P 500; Nasdaq haven't seen a negative close in 2018,S&P 500 rises 0.2%
60,2018-01-07,Dow off 14 points at 25;279; S&P 500 trades flat at 2;741,U.S. stocks open flat; taking a breather from record rally,Shares of Boeing Co.; Goldman pressure Dow at the open,Dow trades at break even level as 3M shares slump,S&P 500; Nasdaq open little changed; threaten to end lower for the first time in 2018,Why only a tiny percentage of Americans benefit from Dow 25;000,Whirlpool appliances to communicate with Apple Watch in early 2018,These stocks have been a ‘trendy’ trade; but they now could finally break out,Jeff Sessions has delivered a blow to the marijuana industry’s ability to raise capital,Weekend roundup: Dow 25;000 | Ripple and bitcoin | Artificial intelligence
61,2018-01-06,Apple stock will move higher in ‘super-long cycle;’ says longtime bull Piper Jaffray,Head of largest hedge fund says economic downturn could leave U.S. ‘at each other’s throats’,As stock-market milestones fall; investors look ahead to the next record,Dow logs 220-point gain to end stellar first week of 2018 for the stock market,Dow is a quarter of the way to 26;000 with a more than 200-point rally to end week,S&P 500; Nasdaq book biggest weekly gains in more than a year,U.S. stocks end at records as tech; healthcare stocks rally,S&P 500; Nasdaq close at record for fourth straight session in 2018,Dow gains 1.4% over the week; largest weekly advance in a month,U.S. stocks end at records as tech powers equities to fourth straight daily gain
62,2018-01-05,Trump floats Dow 30;000 — here’s how you can get to that milestone safely,Don't look now: Dow already a quarter of the way to 26;000,Dow rises nearly 180 points at 25;250 in late trade as stocks pick up steam to end week,Dow rises 170 points at 25;248; S&P 500 index climbs 0.5% at 2;737,Nasdaq adds 0.6% at 7;121,Stock-market gains accelerate with less than a hour left in trade as Fed's Mester underscores job-market strength,Stock market gains firm in late afternoon trade as Wall Street set to wrap 1st week of 2018,Dow up 140 points at 25;215; S&P 500 rises 0.5% at 2;736,Nasdaq climbs 0.6% at 7;121,Tech ETF on track for best weekly rally in more than a year
